transaction_id,customer_id,amount,previous_successes,previous_failures,customer_age_days,is_subscription,is_active,failure_reason,failed,recovered
T100130,C1063,1795.33,9,2,531,1,1,expired_method,0,1
T100131,C1139,8437.38,2,0,294,0,1,expired_method,0,1
T100132,C1499,2338.03,8,1,846,0,1,temporary_failure,0,1
T100133,C1593,3727.9,5,3,1425,1,1,technical_error,1,1
T100134,C1392,5452.4,4,1,446,1,1,technical_error,0,1
T100135,C1675,1933.22,5,1,1172,0,1,temporary_failure,0,1
T100136,C1419,1659.49,3,1,675,0,0,expired_method,0,1
T100137,C1289,601.82,8,2,668,0,0,authentication_failure,0,1
T100138,C1379,1227.25,7,3,924,1,1,authentication_failure,1,0
T100139,C1773,778.75,4,0,1447,1,0,insufficient_funds,0,1
T100140,C1490,991.49,2,0,786,0,1,insufficient_funds,0,1
T100141,C1231,5447.97,3,2,656,1,1,checkout_abandoned,1,1
T100142,C1041,1459.67,2,3,539,0,1,technical_error,0,1
T100143,C1028,694.42,7,2,146,1,0,checkout_abandoned,0,1
T100144,C1135,3755.21,5,0,399,0,1,temporary_failure,0,1
T100145,C1201,2742.04,6,1,207,0,1,checkout_abandoned,0,1
T100146,C1840,2851.9,2,0,566,0,1,temporary_failure,0,1
T100147,C1780,297.5,6,1,415,0,0,insufficient_funds,1,1
T100148,C1033,5776.21,3,2,466,0,1,insufficient_funds,0,1
T100149,C1048,881.05,3,0,1487,0,1,checkout_abandoned,0,1
T100150,C1503,2400.58,3,1,1120,0,0,temporary_failure,1,1
T100151,C1407,8891.49,6,0,1242,0,0,technical_error,1,1
T100152,C1574,6744.61,5,2,233,0,1,authentication_failure,0,1
T100153,C1728,643.44,8,0,1286,0,1,temporary_failure,0,1
T100154,C1805,453.33,4,2,1193,0,1,temporary_failure,0,1
T100155,C1099,3915.74,5,2,1262,1,0,temporary_failure,0,1
T100156,C1684,1490.02,5,1,1228,0,1,checkout_abandoned,0,1
T100157,C1872,919.97,7,0,1410,0,1,temporary_failure,0,1
T100158,C1726,2134.34,6,0,153,1,1,temporary_failure,0,1
T100159,C1547,1185.41,1,0,139,0,0,temporary_failure,1,1
T100160,C1739,2266.5,2,3,1484,0,0,insufficient_funds,0,1
T100161,C1613,1408.44,7,2,1074,0,1,insufficient_funds,0,1
T100162,C1462,2302.59,9,3,1047,0,1,expired_method,1,1
T100163,C1643,684.78,10,1,983,1,0,technical_error,0,1
T100164,C1769,3898.5,7,0,999,0,0,technical_error,1,1
T100165,C1005,2260.22,7,1,1466,0,0,expired_method,0,1
T100166,C1218,2174.87,2,1,1466,0,0,insufficient_funds,0,1
T100167,C1503,579.26,5,0,548,0,0,insufficient_funds,0,1
T100168,C1767,4792.1,5,0,432,0,1,checkout_abandoned,0,1
T100169,C1398,1325.72,7,1,1362,0,1,insufficient_funds,0,1
T100170,C1871,2312.39,5,0,941,1,1,insufficient_funds,0,1
T100171,C1795,1051.4,6,1,909,1,1,insufficient_funds,0,1
T100172,C1393,1628.91,4,0,94,0,1,checkout_abandoned,0,1
T100173,C1207,1673.79,11,1,878,1,1,insufficient_funds,0,1
T100174,C1015,161.59,5,1,11,1,1,checkout_abandoned,0,1
T100175,C1858,2073.17,6,0,216,1,0,temporary_failure,0,1
T100176,C1554,5848.88,3,1,421,0,1,technical_error,0,1
T100177,C1892,2007.88,1,2,610,1,1,checkout_abandoned,0,1
T100178,C1461,653.09,5,0,130,0,1,checkout_abandoned,1,1
T100179,C1691,2180.85,5,2,1490,1,1,temporary_failure,0,1
T100180,C1575,2964.94,5,0,18,0,0,expired_method,0,1
T100181,C1864,1967.17,6,2,321,1,0,technical_error,0,1
T100182,C1743,1267.0,1,2,833,0,1,technical_error,0,1
T100183,C1241,1116.98,11,2,1237,1,1,expired_method,1,1
T100184,C1564,1113.5,1,2,838,0,0,insufficient_funds,1,0
T100185,C1096,2260.48,5,2,509,1,1,temporary_failure,0,1
T100186,C1734,466.22,6,1,918,1,1,expired_method,0,1
T100187,C1485,1013.43,5,3,659,0,1,temporary_failure,0,1
T100188,C1407,4432.45,5,1,154,0,0,temporary_failure,0,1
T100189,C1231,4562.59,3,1,410,0,0,insufficient_funds,0,1
T100190,C1749,442.04,5,1,936,0,1,expired_method,0,1
T100191,C1655,573.32,2,2,695,1,0,technical_error,0,1
T100192,C1171,1093.39,7,0,764,0,1,insufficient_funds,0,1
T100193,C1541,2616.11,6,0,492,0,0,expired_method,1,1
T100194,C1036,340.15,5,2,109,1,1,technical_error,0,1
T100195,C1525,1285.49,4,1,1236,0,1,authentication_failure,0,1
T100196,C1160,938.58,4,2,1241,0,1,temporary_failure,1,1
T100197,C1839,3620.88,6,0,614,0,0,insufficient_funds,0,1
T100198,C1699,380.82,11,1,758,1,1,insufficient_funds,0,1
T100199,C1243,1435.7,6,2,795,0,1,checkout_abandoned,1,1
T100200,C1086,997.04,4,1,276,0,1,authentication_failure,0,1
T100201,C1796,4033.34,0,0,515,0,1,expired_method,0,1
T100202,C1578,2096.95,5,3,259,1,1,insufficient_funds,0,1
T100203,C1682,863.19,3,2,448,0,1,insufficient_funds,1,0
T100204,C1557,2540.31,2,1,396,1,1,insufficient_funds,0,1
T100205,C1574,1000.62,4,2,1495,1,1,temporary_failure,0,1
T100206,C1646,2834.15,5,1,505,0,1,technical_error,0,1
T100207,C1796,1121.24,8,2,625,1,1,authentication_failure,0,1
T100208,C1028,2954.25,2,1,994,0,1,insufficient_funds,1,0
T100209,C1620,1857.64,4,2,665,1,1,insufficient_funds,0,1
T100210,C1556,15450.06,9,1,146,1,1,temporary_failure,0,1
T100211,C1340,1287.33,2,2,589,0,1,insufficient_funds,1,0
T100212,C1798,1784.95,5,1,182,1,1,checkout_abandoned,1,1
T100213,C1331,934.89,6,4,11,0,0,insufficient_funds,1,0
T100214,C1640,1342.13,6,0,1152,0,1,insufficient_funds,1,1
T100215,C1506,176.55,6,2,866,0,0,insufficient_funds,0,1
T100216,C1348,1899.2,5,0,507,1,1,checkout_abandoned,0,1
T100217,C1473,3667.1,5,1,1153,0,1,checkout_abandoned,0,1
T100218,C1231,1803.48,5,2,799,0,1,checkout_abandoned,0,1
T100219,C1190,500.0,5,0,1410,1,1,expired_method,1,1
T100220,C1225,734.11,2,0,974,1,1,authentication_failure,0,1
T100221,C1385,216.45,2,0,158,1,1,checkout_abandoned,0,1
T100222,C1377,2791.11,7,0,851,0,1,insufficient_funds,0,1
T100223,C1283,629.62,4,2,864,1,0,checkout_abandoned,0,1
T100224,C1633,1310.9,5,0,228,1,1,technical_error,0,1
T100225,C1628,1193.56,2,2,192,0,1,temporary_failure,0,1
T100226,C1745,4087.94,4,0,525,1,1,expired_method,0,1
T100227,C1259,1427.9,6,1,579,0,1,authentication_failure,0,1
T100228,C1359,2456.93,3,2,207,1,1,expired_method,0,1
T100229,C1710,2017.97,6,3,1407,1,1,technical_error,0,1
T100230,C1456,3712.86,3,1,1476,1,1,temporary_failure,0,1
T100231,C1411,1119.52,9,1,1059,0,0,expired_method,0,1
T100232,C1649,5443.68,0,0,467,1,0,technical_error,0,1
T100233,C1318,302.1,2,1,122,0,1,temporary_failure,0,1
T100234,C1677,2548.1,3,0,718,0,1,insufficient_funds,0,1
T100235,C1225,699.27,9,3,1262,0,0,expired_method,1,1
T100236,C1819,925.6,4,0,369,0,1,checkout_abandoned,0,1
T100237,C1234,2053.01,7,0,1418,0,1,expired_method,0,1
T100238,C1684,2040.71,6,1,1474,1,1,temporary_failure,1,0
T100239,C1664,2110.8,9,1,1131,0,1,technical_error,1,1
T100240,C1827,473.61,4,1,1337,0,1,expired_method,0,1
T100241,C1374,3971.0,7,0,721,1,0,checkout_abandoned,0,1
T100242,C1672,681.65,3,1,1054,0,1,expired_method,0,1
T100243,C1608,753.35,5,1,936,0,1,temporary_failure,0,1
T100244,C1472,2161.21,4,1,184,0,1,checkout_abandoned,0,1
T100245,C1233,1080.26,2,1,288,0,1,temporary_failure,0,1
T100246,C1692,1687.82,1,2,217,0,1,expired_method,1,1
T100247,C1113,265.75,2,2,784,0,0,checkout_abandoned,0,1
T100248,C1830,1657.79,5,1,1417,1,0,insufficient_funds,0,1
T100249,C1497,1577.15,5,1,314,1,1,authentication_failure,1,0
T100250,C1442,913.79,5,4,737,1,0,temporary_failure,1,1
T100251,C1564,282.72,8,1,1001,0,1,checkout_abandoned,0,1
T100252,C1268,1141.84,6,0,1388,0,1,temporary_failure,0,1
T100253,C1510,1302.41,3,1,40,0,1,checkout_abandoned,0,1
T100254,C1807,1016.97,3,3,134,0,1,insufficient_funds,1,0
T100255,C1386,337.94,5,3,440,1,0,checkout_abandoned,1,1
T100256,C1387,4429.54,3,0,870,0,1,temporary_failure,0,1
T100257,C1113,829.53,2,1,717,1,1,expired_method,0,1
T100258,C1613,1133.82,6,2,1324,0,1,checkout_abandoned,0,1
T100259,C1625,219.84,6,3,468,0,0,technical_error,1,1
T100260,C1081,4429.94,6,0,1067,0,0,expired_method,0,1
T100261,C1699,943.96,6,4,752,0,1,checkout_abandoned,0,1
T100262,C1113,1442.09,7,1,350,1,1,temporary_failure,0,1
T100263,C1002,3104.33,2,1,848,1,0,insufficient_funds,1,0
T100264,C1642,806.55,7,0,1370,0,1,technical_error,0,1
T100265,C1220,2758.48,4,0,1203,0,1,technical_error,0,1
T100266,C1566,285.43,5,2,1179,0,1,expired_method,0,1
T100267,C1855,2024.83,5,0,329,0,1,temporary_failure,0,1
T100268,C1736,4355.44,5,1,1062,0,1,temporary_failure,0,1
T100269,C1225,866.7,4,1,383,1,0,insufficient_funds,0,1
T100270,C1385,3100.01,4,2,380,1,1,temporary_failure,1,1
T100271,C1403,5299.89,3,1,1043,0,1,expired_method,0,1
T100272,C1638,1106.4,3,2,425,1,1,temporary_failure,1,1
T100273,C1130,1039.87,7,2,966,1,1,expired_method,1,1
T100274,C1053,682.85,5,2,1148,0,0,technical_error,0,1
T100275,C1684,913.88,4,4,93,0,1,insufficient_funds,0,1
T100276,C1730,726.68,9,1,592,0,1,temporary_failure,1,1
T100277,C1672,682.43,5,3,892,0,1,authentication_failure,0,1
T100278,C1710,3291.59,5,4,1089,0,0,technical_error,0,1
T100279,C1416,740.67,6,0,880,0,0,insufficient_funds,0,1
T100280,C1247,1626.02,6,1,309,0,1,authentication_failure,0,1
T100281,C1836,1378.4,6,2,231,1,0,technical_error,0,1
T100282,C1439,4119.85,4,0,943,0,1,insufficient_funds,0,1
T100283,C1203,918.4,3,0,242,0,1,authentication_failure,0,1
T100284,C1184,1782.66,4,2,187,1,1,insufficient_funds,0,1
T100285,C1123,2424.31,5,3,83,1,0,technical_error,1,1
T100286,C1401,4094.14,2,0,1321,0,0,insufficient_funds,0,1
T100287,C1767,908.4,6,0,898,1,1,technical_error,0,1
T100288,C1294,842.67,0,0,1379,0,0,insufficient_funds,0,1
T100289,C1280,604.05,9,4,62,1,1,authentication_failure,0,1
T100290,C1837,7166.87,3,3,1465,1,1,expired_method,0,1
T100291,C1884,3783.31,10,3,474,1,1,technical_error,1,1
T100292,C1610,1297.7,4,2,778,1,0,authentication_failure,0,1
T100293,C1198,5702.04,4,0,127,1,1,temporary_failure,0,1
T100294,C1511,1240.91,7,2,227,0,0,temporary_failure,0,1
T100295,C1752,2306.09,5,2,629,0,0,authentication_failure,0,1
T100296,C1144,1349.69,4,0,810,1,1,temporary_failure,0,1
T100297,C1609,1805.07,10,0,291,1,1,checkout_abandoned,0,1
T100298,C1201,1667.07,5,3,1331,1,1,expired_method,0,1
T100299,C1124,973.85,7,0,723,1,0,insufficient_funds,1,0
T100300,C1187,3039.27,3,0,1331,0,1,temporary_failure,0,1
T100301,C1326,2291.51,4,0,617,1,1,expired_method,0,1
T100302,C1464,2895.09,3,0,1072,1,1,insufficient_funds,0,1
T100303,C1349,1703.04,2,0,1350,0,1,authentication_failure,0,1
T100304,C1771,678.63,3,4,1336,1,1,temporary_failure,0,1
T100305,C1660,4827.29,6,0,947,0,0,expired_method,0,1
T100306,C1764,1100.02,7,1,825,1,1,temporary_failure,0,1
T100307,C1403,1759.97,5,1,189,1,1,technical_error,1,1
T100308,C1346,2157.13,3,0,1194,0,1,authentication_failure,0,1
T100309,C1511,1751.22,3,0,1188,0,0,insufficient_funds,0,1
T100310,C1147,2661.28,7,2,1190,0,1,technical_error,1,1
T100311,C1148,2996.0,3,1,393,0,0,checkout_abandoned,0,1
T100312,C1864,1131.59,4,0,876,0,1,technical_error,0,1
T100313,C1711,4532.82,7,1,293,0,1,authentication_failure,0,1
T100314,C1820,1096.44,4,1,460,0,0,temporary_failure,0,1
T100315,C1489,1724.27,2,3,371,0,1,authentication_failure,0,1
T100316,C1640,1001.49,3,3,486,1,0,temporary_failure,0,1
T100317,C1551,808.27,2,0,1177,0,1,expired_method,0,1
T100318,C1338,2931.13,8,0,109,1,1,insufficient_funds,1,1
T100319,C1872,13924.74,6,0,266,0,1,temporary_failure,0,1
T100320,C1641,1021.15,12,1,1371,1,1,temporary_failure,0,1
T100321,C1779,3332.54,4,2,397,1,1,expired_method,0,1
T100322,C1473,1048.97,3,1,141,0,1,checkout_abandoned,0,1
T100323,C1151,1328.94,1,0,636,0,1,temporary_failure,0,1
T100324,C1415,5004.98,6,0,413,1,1,temporary_failure,0,1
T100325,C1298,598.75,2,2,328,0,1,checkout_abandoned,0,1
T100326,C1611,490.97,4,2,476,0,0,expired_method,0,1
T100327,C1263,1254.64,4,3,812,0,1,technical_error,1,1
T100328,C1764,2203.37,5,0,125,0,1,expired_method,0,1
T100329,C1144,1896.47,4,1,822,1,0,checkout_abandoned,0,1
T100330,C1346,1755.5,5,2,1090,1,1,expired_method,0,1
T100331,C1624,1374.16,7,2,1410,1,1,temporary_failure,0,1
T100332,C1572,2416.09,6,0,673,0,0,technical_error,0,1
T100333,C1881,150.62,4,0,285,0,1,technical_error,1,1
T100334,C1002,762.72,5,0,507,1,0,checkout_abandoned,0,1
T100335,C1897,1248.62,3,1,514,1,0,checkout_abandoned,0,1
T100336,C1304,2271.97,1,0,1199,0,1,temporary_failure,0,1
T100337,C1254,4094.19,4,1,161,1,1,checkout_abandoned,0,1
T100338,C1652,689.64,5,0,1245,1,1,insufficient_funds,1,0
T100339,C1453,3995.04,6,3,289,0,1,insufficient_funds,0,1
T100340,C1037,953.92,4,0,1359,1,1,insufficient_funds,0,1
T100341,C1160,1215.08,5,4,1135,0,1,expired_method,0,1
T100342,C1009,2071.6,7,4,392,0,0,authentication_failure,1,0
T100343,C1233,1150.06,5,0,1407,0,1,expired_method,0,1
T100344,C1099,3079.7,5,2,774,0,1,insufficient_funds,0,1
T100345,C1659,988.85,9,2,290,1,0,temporary_failure,0,1
T100346,C1816,1000.09,3,2,489,1,0,authentication_failure,0,1
T100347,C1208,2948.3,5,2,474,0,1,temporary_failure,0,1
T100348,C1131,755.71,3,1,1486,0,0,temporary_failure,0,1
T100349,C1404,1614.36,5,1,282,0,1,temporary_failure,0,1
T100350,C1152,385.54,4,1,1490,0,1,temporary_failure,0,1
T100351,C1054,5243.42,3,0,523,1,1,expired_method,0,1
T100352,C1120,3310.7,7,1,1372,0,1,expired_method,0,1
T100353,C1673,10536.29,5,0,530,0,1,expired_method,1,1
T100354,C1628,3654.71,3,1,1156,0,1,temporary_failure,0,1
T100355,C1587,574.08,3,1,113,0,1,technical_error,0,1
T100356,C1625,2211.64,6,1,1116,1,1,temporary_failure,0,1
T100357,C1420,672.83,7,2,1142,0,1,checkout_abandoned,0,1
T100358,C1422,4374.42,7,2,1153,1,0,insufficient_funds,1,1
T100359,C1104,586.48,4,1,1485,1,1,insufficient_funds,0,1
T100360,C1852,565.74,4,2,911,0,1,temporary_failure,0,1
T100361,C1254,400.47,1,1,1261,1,0,expired_method,0,1
T100362,C1227,928.63,4,0,1300,0,0,checkout_abandoned,0,1
T100363,C1112,798.63,3,1,926,1,1,insufficient_funds,0,1
T100364,C1510,519.97,2,0,505,0,1,insufficient_funds,0,1
T100365,C1473,5957.21,6,2,226,0,0,insufficient_funds,0,1
T100366,C1099,1993.03,2,3,295,0,1,insufficient_funds,0,1
T100367,C1153,1824.71,6,3,994,0,1,checkout_abandoned,0,1
T100368,C1861,4411.07,6,0,1404,1,1,checkout_abandoned,0,1
T100369,C1896,1623.26,6,0,670,0,1,expired_method,1,1
T100370,C1878,763.94,6,1,679,1,0,checkout_abandoned,0,1
T100371,C1338,374.22,6,1,1207,1,0,insufficient_funds,0,1
T100372,C1706,732.31,5,1,283,0,1,authentication_failure,0,1
T100373,C1822,4142.53,7,1,694,1,0,technical_error,0,1
T100374,C1163,522.43,7,2,68,0,1,insufficient_funds,0,1
T100375,C1720,1745.59,9,0,428,1,1,checkout_abandoned,0,1
T100376,C1681,2908.65,5,0,1439,1,1,authentication_failure,0,1
T100377,C1161,1659.06,4,1,1403,1,1,insufficient_funds,0,1
T100378,C1580,1806.66,7,0,929,0,1,checkout_abandoned,0,1
T100379,C1801,2190.1,5,0,1248,1,0,temporary_failure,0,1
T100380,C1398,1780.16,5,2,1340,0,1,authentication_failure,0,1
T100381,C1277,4477.44,4,0,74,0,0,temporary_failure,0,1
T100382,C1816,613.87,9,1,1432,0,1,temporary_failure,0,1
T100383,C1504,1604.1,5,2,421,0,1,authentication_failure,0,1
T100384,C1896,342.52,6,2,1285,0,0,expired_method,0,1
T100385,C1392,282.79,0,0,307,1,1,expired_method,0,1
T100386,C1135,1259.85,6,1,1181,1,1,technical_error,0,1
T100387,C1195,2013.31,8,1,1261,1,1,expired_method,0,1
T100388,C1401,4550.54,4,2,820,1,1,insufficient_funds,0,1
T100389,C1640,8224.26,6,0,729,1,1,insufficient_funds,0,1
T100390,C1033,3604.35,3,3,1230,0,1,temporary_failure,1,1
T100391,C1688,2310.86,3,2,252,1,1,authentication_failure,0,1
T100392,C1460,1510.16,7,0,712,1,1,insufficient_funds,0,1
T100393,C1883,424.78,4,1,180,0,1,expired_method,0,1
T100394,C1470,1200.47,2,1,763,1,0,temporary_failure,1,0
T100395,C1375,3525.52,1,1,1496,0,1,expired_method,0,1
T100396,C1022,2627.3,7,1,267,0,0,technical_error,0,1
T100397,C1750,510.43,2,1,481,1,0,temporary_failure,0,1
T100398,C1670,2122.86,5,1,160,0,1,temporary_failure,0,1
T100399,C1038,1990.81,6,1,917,0,1,temporary_failure,0,1
T100400,C1230,1741.35,7,0,1463,1,1,technical_error,1,1
T100401,C1365,1311.74,5,3,1415,1,0,authentication_failure,0,1
T100402,C1563,2206.56,5,1,1450,0,1,technical_error,0,1
T100403,C1438,2259.69,8,0,1333,0,1,technical_error,1,1
T100404,C1776,827.91,5,5,246,1,1,technical_error,0,1
T100405,C1283,1884.2,6,3,1186,0,0,insufficient_funds,0,1
T100406,C1027,1162.06,3,1,1324,0,1,insufficient_funds,0,1
T100407,C1226,439.03,9,0,428,0,1,checkout_abandoned,0,1
T100408,C1277,879.01,5,2,586,1,0,expired_method,0,1
